"ID","select_reject_by (Wim/Christophe)","notes (Wim/Christophe)","select_reject_by (Kural)","notes kural","title","abstract","source_type","year","database","journal","volume","issue","start_page","end_page","doi","issn"
1444," "," "," "," ","the impact of emotion on offender decisionmaking advancing our understanding through virtual reenactment","This article reviews approaches to the study of emotion in offender decision-making research. It then draws together theoretical models from psychology and neuroscience to propose an innovative method with which to move this field forward. Theories in this field have long called for a deeper understanding of the impact of emotion on criminal behaviour. While recent research has made some fruitful gains, it has been hampered by an overly narrow view of emotion and by limited methodologies. Using the expertise paradigm as an interdisciplinary and integrative framework, this article advocates incorporating into it established models of emotional experience from affective neuroscience to aid this endeavour. It further argues that employing the currently evolving virtual enactment method as a measurement tool will provide an unparalleled insight into the study of emotion as it unfolds during the offending act. Both environmental crime prevention and desistance from crime are likely to benefit considerably as a result.","JOUR","2024","Web of Science",NA,NA,NA,NA,NA,"10.1080/1068316X.2024.2305205",NA
1445," "," "," "," ","spatial and temporal patterns of terrorist attacks by eta 1970 to 2007","Rational choice perspectives maintain that seemingly irrational behavior on the part of terrorist organizations may nevertheless reflect strategic planning. In this paper we examine spatial and temporal patterns of terrorist attacks by the Spanish group ETA between 1970 and 2007. Our analysis is guided by a public announcement by ETA in 1978 that the group would shift from emphasizing attacks in the Basque territory to instead launch attacks more widely in the hopes of exhausting the Spanish government and forcing it to abandon the Basque territory. This announcement suggests that prior to the end of 1978 ETA attacks were based mostly on controlling territory in the Basque region that they hoped to rule; and after 1978 the organization decided to instead undertake a prolonged war of attrition. Accordingly, we argue that before the end of 1978 ETA was mostly perpetrating control attacks (attacking only within the Basque territories) and that the diffusion of attacks between provinces was mostly contagious (spreading contiguously). After the 1978 proclamation, we argue that the attack strategy shifted toward attrition (attacking in areas outside of the Basque territories) and that the attacks were more likely to diffuse hierarchically (spreading to more distant locations). As predicted, we find that after ETA moved toward a more attrition based attack strategy, subsequent attacks were significantly more likely to occur outside the Basque region and to target non-adjacent regions (consistent with hierarchical diffusion). We also find that hierarchical diffusion was more common when a longer time elapsed between attacks (a likely consequence of the fact that more distant attacks require more resources and planning) and that attacks against Madrid were unlikely to be followed immediately by more attacks on Madrid or surrounding provinces. After ETA announced a shift in policy, they maintained a highly dispersed attack strategy even during their period of decline. Using information about where and when prior attacks occurred could provide useful information for policy makers countering groups like ETA.","JOUR","2012","Web of Science",NA,"28","1","7","29","10.1007/s10940-011-9133-y",NA
1446," "," "," "," ","learning on the job studying expertise in residential burglars using virtual environments","In this article, we describe a quasi-experiment in which experienced incarcerated burglars (n = 56), other offenders (n = 50), and nonoffenders (n = 55) undertook a mock burglary within a virtual neighborhood. We draw from the cognitive psychology literature on expertise and apply it to offending behavior, demonstrating synergy with rational choice perspectives, yet extending them in several respects. Our principal goal was to carry out the first robust test of expertise in offenders by having these groups undertake a burglary in a fully fledged reenactment of a crime in a virtual environment. Our findings indicate that the virtual environment successfully reinstated the context of the crime showing clear differences in the decision making of burglars compared with other groups in ways commensurate with expertise in other behavioral domains. Specifically, burglars scoped the neighborhood more thoroughly, spent more time in the high-value areas of the crime scene while traveling less distance there, and targeted different goods from the comparison groups. The level of detail in the data generated sheds new light on the cognitive processes and actions of burglars and how they ""learn on the job."" Implications for criminal decision-making perspectives and psychological theories of expertise are discussed.","JOUR","2019","Web of Science",NA,"57","3","481","511","10.1111/1745-9125.12210",NA
1447," "," "," "," ","is there an expert stranger rapist","The concept of expertise applied to the criminal context assumes that offenders are driven by the abilities to both maximize the payoffs and minimize the risks associated with the crime-commission. This study tested the articulation between these two types of decisions taken by stranger rapists to successfully commit their crime. Specifically, this study aims to identify whether offenders whose modus operandi is indicative of criminal expertise are more likely to use forensic awareness strategies. Multivariate analyses conducted on 1,551 cases showed that stranger rapists who adopted behaviors indicative of expertise were more likely to use forensic awareness strategies to decrease the risk of police detection. Mixed associations were found between the number of forensic awareness strategies and their nature (i.e., protecting identity vs. destroying evidence) and rapists' expertise, thus leading to a four-type theoretical classification of expertise: novice, bold, opportunistic, and expert stranger rapists. Implications for research and practice are discussed.","JOUR","2022","Web of Science",NA,"34","1","78","105","10.1177/1079063221993478",NA
1448," "," "," "," ","reconciling emotion and rational choice negativistic auto theft consequence irrelevance and the seduction of destruction","Objectives: We explore negativism in the context of auto theft and examine its broader phenomenological significance for Rational Choice Theory. Methods: Data were drawn from qualitative, in-depth interviews with 35 active auto thieves operating out of a large Midwestern U.S. city. Results: Negativistic offending is malicious, spiteful, and/or destructive conduct whose purpose is typically more hedonic (i.e., short-term gratification) than instrumental (i.e., resource-generating) or normative (i.e., moralistic). It is made possible by the notion of ownership without responsibility: Offenders controlled a vehicle that was not theirs, promoting consequence irrelevance which in turn unleashed reckless conduct. Conclusions: Consequence irrelevance clarifies negativism's logic and permits linkage between affect-based and rational choice decision-making models.","JOUR","2019","Web of Science",NA,"56","6","783","815","10.1177/0022427819828793",NA
1449," "," "," "," ","measuring the impact of negative demand shocks on car dealer networks","The goal of this paper is to study the behavior of consumers, dealers, and manufacturers in the car sector and present an approach that can be used by managers and policy makers to investigate the impact of significant demand shocks on profits, prices, and dealer networks. More specifically, we investigate consumer demand, substitution patterns, and price decisions across different cars and dealer locations to identify dealerships with low margins or high fixed costs and measure the value of closing down dealerships for manufacturers. We apply our model empirically to the San Diego area using a transactional data set with information about the locations of dealers and consumers, as well as manufacturer and retail prices. We find strong consumer disutility for travel and find that dealers have local demand areas that are shared with a small set of competitors. We show that a reduction of market demand by 30% over two years, similar to the economic crisis of 2008-2009, results in an annual drop in prices of approximately 11%. We discuss this price drop in the context of the 2009 federal policy measure known as the Car Allowance Rebate System program. We compare predictions and actual dealership closings in the General Motors and Chrysler dealer networks as an application of our approach.","JOUR","2012","Web of Science",NA,"31","1","4","23","10.1287/mksc.1110.0659",NA
1450," "," "," "," ","examining the role of amenities in migration decisions a structural estimation approach","I develop a discrete choice dynamic migration model to examine the importance of amenity values in immigrants' migration decisions. The model accounts for differentials in both wages and location-specific amenities as determinants of migration decisions, and the size of migrants' networks is allowed to influence the value of the US location choice as well. By estimating the model using panel data from the Mexican Migration Project, I find that Mexican migrants place substantial value on amenities in the United States, which are shown to fall precipitously with migrants' age. Simulation results from policy experiments indicate that Mexican immigrants are more responsive to a policy that reduces the amenity values related to unauthorized US residence than to an increase in the number of border patrol officers.","JOUR","2016","Web of Science",NA,"95","4","733","+","10.1111/pirs.12154",NA
1451," "," "," "," ","crime diversity","Large geographic areas should host a greater diversity of crime compared with small geographic areas. This proposition is reasonable given that larger geographic areas should not only support more crime but also contain a greater diversity of criminogenic settings. This article uses a neutral model to characterize crime richness as a function of area. The model starts with two neutral assumptions: 1) that all environments are statistically equivalent and exert no influence on what types of crimes occur there; and 2) that different crime types occur independently of one another. The model produces rigorous predictions for the mean and variance in crime richness with increasing area. Tests of the model against a sample of 172,055 crimes occurring in Los Angeles during the year 2013 are qualitatively consistent with neutral expectations. The model is made quantitatively consistent by constant scaling. Resampling experiments show that at most 20 percent of the mean crime richness is attributable to nonrandom clustering and assortment of crime types. A modified neutral model allowing for variation crime concentration is consistent with observed variance in crime richness. The results suggest that very general and largely neutral laws may be driving crime diversity in space.","JOUR","2016","Web of Science",NA,"54","4","553","586","10.1111/1745-9125.12116",NA
1452," "," "," "," ","joint model of residential relocation choice and underlying causal factors","Residential location choice is a key determinant of activity-travel behavior, yet little is known about the reasons why people choose to move or not move residences. Such understanding is critical to being able to model residential location choices over time and design built environments that people find appealing. This paper attempts to fill this gap by developing a joint model of the choice to move residence and the primary reason behind the move. The model is estimated on the Florida subsample of the 2009 U.S. National Household Tavel Survey. Model results shed considerable light on the socioeconomic and demographic variables that affect a household's decision whether to move residence and the primary reason underlying that decision.","JOUR","2012","Web of Science",NA,NA,"2303","28","37","10.3141/2303-04",NA
1453," "," "," "," ","predicting cannabis cultivation on national forests using a rational choice framework","Government agencies in the United States eradicated 10.3 million cannabis plants in 2010. Most (94%) of these plants were outdoor-grown, and 46% of those were discovered on federal lands, primarily on national forests in California, Oregon, and Washington. We developed models that reveal how drug markets, policies, and environmental conditions affect grow siting decisions. The models were built on a rational choice theoretical structure, and utilized data describing 2322 cannabis grow locations (2004-2012) and 9324 absence locations in the states' national forests. Predictor variables included cannabis market prices, law enforcement density, and socioeconomic, demographic, and environmental variables. We also used the models to construct regional maps of grow site likelihood. Significant predictors included marijuana street price and variables associated with grow site productivity (e.g., elevation and proximity to water), production costs, and risk of discovery. Overall, the pattern of grow site establishment on national forests is consistent with rational choice theory. In particular, growers consider cannabis prices and law enforcement when selecting sites. Ongoing adjustments in state cannabis laws could affect cultivation decisions on national forests. Any changes in cannabis policies can be reflected in our models to allow agencies to redirect interdiction resources and potentially increase discovery success. Published by Elsevier B.V.","JOUR","2016","Web of Science",NA,"129",NA,"161","171","10.1016/j.ecolecon.2016.06.013",NA
1454," "," "," "," ","concentrated and close to home the spatial clustering and distance decay of lone terrorist vehicular attacks","Objectives This study examines the spatial characteristics of vehicular terror attacks in Israel from a ""micro place"" perspective at the street segment level. Utilizing data obtained from the Israel Security Agency, Israel National police, and open sources, the study analyzes the 71 vehicular attacks carried out in Israel between 2000 and 2017. In addition to examining the hot-spots at which attacks occurred, we also identify ""hot routes"", estimated journey to attack routes. Methods We move beyond traditional approaches by calculating and comparing generalized Gini coefficients and their Lorenz curves for both the hot spots and hot routes. Results Tight spatial clustering in Jerusalem and the West Bank is found to be characteristic of this type of attack, which is limited by a range geographic constraints. Hot routes are identified as being highly concentrated at the street-segment level, although they are relatively less concentrated than hot-spots. Additionally, the presence of a strong distance decay function is confirmed. Conclusions The findings indicate that the laws of crime concentration are applicable to the case of lone terrorist vehicular attacks. The results demonstrate the utility of the methodological approach to examining specific types of terror attacks. Such approaches may be useful for informing environmental based prevention policies and strategies.","JOUR","2020","Web of Science",NA,"36","3","607","645","10.1007/s10940-019-09414-z",NA
1455," "," "," "," ","predicting recidivism among released juvenile offenders in florida an evaluation of the residential positive achievement change tool","Each year in the United States, as many as 100,000 juvenile offenders are released after completing a residential placement. A significant task for researchers is to identify the factors that explain variations in recidivism. This study considers this by evaluating the predictive validity of the Residential Positive Achievement Change Tool (R-PACT), a fourth-generation risk assessment instrument adopted by Florida for use in all of its juvenile residential facilities. The R-PACT includes a wide variety of static and dynamic risk and needs scales that are used here to predict reoffending among 4,700 released juvenile offenders in Florida. We devote special attention to (1) whether R-PACT scales typically predict reoffending and (2) whether the R-PACT's predictive validity varies across different subgroups of offenders. In considering these questions, we also consider whether the predictive risk and protective factors in prior research are predictive in the R-PACT as well. The analysis revealed relatively strong support for the R-PACT, but there were nuanced exceptions to that pattern. We discuss the implications these findings have for assessing risk, monitoring progress among residential youth, and predicting reoffending.","JOUR","2018","Web of Science",NA,"16","1","97","116","10.1177/1541204016660161",NA
1456," "," "," "," ","consumer choice and use of multiple information sources for automobile purchases","People consult various sources, including the Internet, to search for information before purchasing an automobile. We develop an econometric model for a consumer's time allocation over multiple information sources. The process of searching is viewed as a formal choice problem in which the consumer attempts to choose the amount of search from multiple sources to maximize the benefit of purchase net of search cost. Observed data on time allocation over representative sources are postulated to arise from this optimizing behavior, and the proposed econometric model is calibrated to four waves of survey data from buyers of new automobiles, covering purchases made in 1999, 2001, 2003, and 2005. Consistent with the requirement that buyers must complete the transaction and obtain delivery at dealerships, we find that, on average, the baseline preference for sources is the highest for dealer-related activities. However, we also find that the share of time devoted to the Internet increases considerably with overall search time. In particular, we find that more educated buyers under age 40 who search extensively are likely to rely heavily on the Internet in their search. This indicates that the Internet has become the key medium for manufacturers and dealers who are targeting younger, more educated buyers.","JOUR","2012","Web of Science",NA,"16","3","7","39","10.2753/JEC1086-4415160301",NA
1457," "," "," "," ","myopic decision making an examination of crime decisions and their outcomes in sexual crimes","Purpose: According to the rational choice approach, offenders consider costs and benefits when making decisions. This study applies this framework to sexual offenses and examines how various decisions made by perpetrators of sexual crimes influenced the desired and undesired crime outcomes that resulted. Methods: The study examines 2296 crimes of a sexual nature committed by a sample of 898 offenders evaluated at the Massachusetts Treatment Center. Using Generalized Estimating Equations, 23 predictor variables measuring sexually coercive decisions made in each crime about four aspects (who?, when?, where?, and how?) are used to predict ten desired (positive) and seven undesired (negative) crime outcomes for offenders. Results: Results indicated that decisions made by offenders in the context of their sexual crimes were mostly oriented towards the production of immediate positive outcomes and the prevention of immediate negative outcomes, but demonstrated little consideration for non-immediate negative outcomes. Conclusions: Sexual offenders engage in myopic or hyperbolic discounting when making criminal decisions. (C) 2017 Elsevier Ltd. All rights reserved.","JOUR","2017","Web of Science",NA,"50",NA,"1","11","10.1016/j.jcrimjus.2017.03.001",NA
1458," "," "," "," ","crime displacement what we know what we dont know and what it means for crime reduction","If offending were simply displaced following (often spatially) focused crime reduction initiatives, the continued expenditure of resources on this approach to crime reduction would be pointless. The aims of this article were to: critically appraise the current body of displacement research; identify gaps in understanding; articulate an agenda for future research; and to consider the implications of the accumulated findings for practitioners, evaluators, and policy makers. First, we review existing criminological theory regarding crime displacement and the alternative perspective-that crime prevention activity might generate a diffusion of crime control benefits. Second, we review the empirical research, focusing in particular on the findings of existing systematic reviews. Third, we consider the types of displacement that might occur and the methodological approaches employed to study them. Theoretical and empirical research suggests that displacement is far from inevitable and that a diffusion of crime control benefit is at least as likely. However, some forms of displacement have not been adequately studied. Existing research suggests that successful crime reduction interventions often have a positive impact on crime that extends beyond the direct recipients of a particular project. However, current understanding of crime displacement and how benefits might diffuse remains incomplete. Consequently, to inform an agenda for future research, we derive a typology of methodological issues associated with studying displacement, along with suggestions as to how they might be addressed.","JOUR","2014","Web of Science",NA,"10","4","549","571","10.1007/s11292-014-9209-4",NA
1459," "," "," "," ","factors in itenabled collaboration in the public sector the neighbor effectsup1sup","This study examines the rational choice and institutional factors influencing the spread of information technology enabled public safety network collaborations in the United States. Consistent with past neighbor effect research, this study tests economic, geographic, and demographic factors predictive of PSN proliferation at the state level. Results suggest a ""follow the money"" pattern, with internal and external resources, along with neighbor-state spending, being predictive of PSN proliferation. The ""neighbor effect"" here reflects a state level mimetic isomorphic influence that provides context to the more rational and resource-based factors associated with network proliferation. Examining isomorphic forces in public safety is particularly warranted since resource allocation decisions in this domain carry grave consequences. This study extends neighbor-effect research into the domain of public safety, identifies unexpected findings regarding violent crime rates and federal funding, and explores possibly ill-fit decision criteria by specifying a measure for mimetic isomorphism in public safety spending.","CPAPER","2012","Web of Science",NA,NA,NA,NA,NA,NA,NA
1460," "," "," "," ","on place safety","For a long time, social factors have been identified as a set of crucial determinants of residential location choice and property value. Here, safety and security issues constitute a significant issue. Inhabitants are traditionally concerned about their neighborhoods and housing locations, and, considering current problems in big Western cities, this concern is by no means lessening. The study presents a social innovation for assisting the search for safe housing environments. A list of quantifiable key features regarding negative externalities and actual criminality provides the basis for constructing a checklist for the comparison of safe places within a city, or comparing cities with respect to their safety for housing occupants, investors, developers and other stakeholders. The controversial nature of the argumentation notwithstanding, this method is suggested to prove valuable in circumstances marred by increasing social hazards and turmoil.","JOUR","2022","Web of Science",NA,"30","1","64","70","10.2478/remav-2022-0006",NA
1461," "," "," "," ","trends in the development of criminal policy in the era of mass robotization of vehicles","The problem of road safety and vehicle operation raises a number of complexities of a socioeconomic, administrative, and criminal nature. Therefore, the provisions considered in this article are mainly aimed at defining the problematic issues facing modern society in the era of active development of scientific and technological progress and ensuring transport security. The upcoming changes related to the mass introduction of driverless vehicles should already find options for the criminal law reaction of the legislator. However, until now, the scientific achievements under consideration are in the plane of the traditional understanding of the mechanism of criminal behavior. The threat of stage-by-stage robotization consists in the inevitable transformation of the existing foundations of public consciousness and the current legal system, which in the new conditions will become ineffective or even contradictory. It is completely justified to believe that to prevent such a development of events, a comprehensive analysis and legal assessment of the risks from the use of robotic cars is necessary, followed by the development of a unified concept of criminal policy, as well as proposals for improving the current legislation. The author refers to the main vectors of development of the criminal policy of the state: - expanding theoretical knowledge about the risks of using robotic vehicles; - obtaining new scientific data on the current state of road crime, socio-demographic and psychophysiological personality traits of the driver responsible for an accident. - obtaining new scientific data on the legal nature, mechanism of Commission and structure of road crime in the era of robotization, regularities of situational approach to the study of this problem. - theoretical justification of the modernization of domestic criminal legislation in the field of road safety, as well as modern approaches to preventive measures to prevent road crime. - development of new coping strategies as a means of self-control of the driver in stressful situations based on the discovery of new knowledge about the evolution of metacognitive patterns of the road criminal's personality and environmental influence on them. - development of a new methodology for professional driver training, along with the use of Informatization and technical control tools. - discovery of new ways to use the results of the research when developers create algorithms for the ethical choice model of robotic vehicles in provocative conditions.","JOUR","2020","Web of Science",NA,NA,"36","136","144","10.17223/22253513/36/12",NA
1462," "," "," "," ","geographic patterns and profiling of illegal crossings of the southern us border","Border control is a crucial component of national security. For a country the size of the United States, however, the length of its land borders and coastlines poses a significant security challenge. Illegal migrant workers, drug couriers, foreign terrorists, smugglers, fugitives, and other criminals benefit from the geographic range and porous nature of American borders. The purpose of this research was to identify facilitating and inhibiting factors of illegal land border crossings in order to determine physical and human geographic features related to the probability of such movement. Identifying the geographic patterns of illegal migration can help the Border Patrol optimize resource allocation and anticipate offender reactions. Security Journal (2008) 21, 29-57. doi: 10.1057/palgrave.sj.8350067","JOUR","2008","Web of Science",NA,"21","1-2","29","57","10.1057/palgrave.sj.8350067",NA
1463," "," "," "," ","crime in the breaking gender differences in desistance","Despite increasing interest in understanding patterns of criminal behavior over the life course and, especially, desistance from crime, evidence about the predictors of these experiences has been derived only from samples of male offenders. We evaluate whether there are gender differences in the predictors of both self-reported illegal earnings and arrest among samples of recently released male and female offenders. Our analysis of gender differences illustrates how both the behavior of the offender and the behavior of law shape our understanding of the transition out of crime. We analyze event history data from a large-scale social experiment that provided employment to male and female offenders. The results indicate that (1) gender differences in the predictors of desistance largely depend on the domain of behavior under consideration; (2) indicators of normative status, as opposed to the perceived risks of crime or age-graded informal controls, are particularly important determinants of women's risks of rearrest.","JOUR","1998","Web of Science",NA,"32","2","339","366","10.2307/827766",NA
1464," "," "," "," ","crime rates and inequality a study of crime in contemporary china","This paper examines the impact of intra-provincial regional inequality on crime rates in China. The results suggest that the western theories of crime can be applied equally to China. The crime rate is found to be positively correlated with intra-provincial regional inequality, but negatively correlated with the level of education. In addition, it is also observed that the crime rate is positively linked with the level of inflation, unemployment rate, as well as inequality in consumption and employment between the rural and urban sectors. The results lend strong support to Merton's theory and Marxian theory. However, the rational choice theory is not supported.","JOUR","2015","Web of Science",NA,"20","2","202","223","10.1080/13547860.2014.964961",NA
1465," "," "," "," ","the criminal histories of drugdrive offenders","This study examined the previous criminal behaviour of individuals who were arrested for violating the drug driving over the prescribed limit offence, introduced into the UK in March 2015. The sample consists of individuals arrested during the first year of enforcement of this offence from March 2015 to March 2016 within the jurisdictional boundaries of the Metropolitan Police Service in London. The previous criminal behaviour of the research subjects was framed within a number of criminological theories and there is examination of any correlation between their criminal history and the drug-driving offence they had been arrested for. The criminal activity was obtained from each individual's criminal record held on the police national computer and coded with regards to offence groups. As well as criminal sanctions, there was also an examination of drug-related arrest histories. The results indicate a high level of previous criminal activity with drugs and driving matters dominating that activity. This supports the construct that, in this context, drug driving fits within their patterns of offending.","JOUR","2020","Web of Science",NA,"14","2","456","468","10.1093/police/pay026",NA
1466," "," "," "," ","exploratory spacetime analysis of burglary patterns","This paper introduces two new methods for the exploratory analysis of the spatial and temporal dynamics of residential burglary patterns. The first is a conditional spatial Markov chain which considers the extent to which a location's probability of experiencing a residential burglary in a future period is related to the prevalence of residential burglaries in its surrounding neighborhood in an initial period. The second measure extends this conditional perspective to examine the joint evolution of residential burglary in a location and its surrounding neighborhood. These methods are applied to a case study of residential burglary patterns in Mesa, Arizona over the period October 2005 through December 2009. Strong patterns of spatial clustering of burglary activity are present in each year, and this clustering is found to have an important influence on both the conditional and joint evolution of burglary activity across space and time.","JOUR","2012","Web of Science",NA,"28","3","509","531","10.1007/s10940-011-9151-9",NA
1467," "," "," "," ","coal strip mining mountaintop removal and the distribution of environmental violations across the united states 20022008","This study draws upon concepts in landscape research and environmental justice to examine the association between community poverty and environmental violations that occurred between 2002 and 2008 across 110 coal strip mining operations located within the United States. Multivariate results suggest that residential poverty is greater around facilities that have been identified as violating an environmental law. In addition, the association between poverty and violations is dependent upon regulatory inspections. While an increase in inspections is associated with an increase in the odds that a violation will be discovered, it is also associated with lower levels of community poverty. We conclude that this pattern of associations between poverty, inspections, and violations is consistent with arguments in the environmental justice and landscape literatures.","JOUR","2011","Web of Science",NA,"36","2","209","230","10.1080/01426397.2010.547572",NA
1468," "," "," "," ","illuminating a dark side of the american dream assessing the prevalence and predictors of mortgage fraud across us counties","Using novel county-level data, the authors document that nearly 25% of residential mortgage loans originated between 2003 and 2005 in America contained one or more indications of mortgage fraud but also that rates were highly variable across counties. Multivariate regression models reveal that rates of mortgage fraud were higher in areas with greater loan volumes, a larger share of loans originated by independent mortgage companies, elevated rates of preexisting property crime, and higher levels of black-white racial segregation; it was less prevalent where government-sponsored enterprises purchased a larger share of the loans sold in secondary mortgage markets. The findings are most consistent with classic and contemporary anomie theories and perspectives that highlight the geographic targeting of selected housing markets with loan products and tactics that provided fertile ground for mortgage fraud. The authors discuss the implications of these patterns for developing a more comprehensive understanding of contemporary spatial inequalities.","JOUR","2017","Web of Science",NA,"123","2","549","603","10.1086/692719",NA
1469," "," "," "," ","examining the modus operandi of sexual offenders against children and its practical implications","The purpose or this article is to review the theoretical, empirical, and practical implications related to the modus operandi Of Sexual offenders against children. First, the rational choice perspective in criminology is presented, Second, descriptive studies aimed specifically at providing information on modus operandi of sexual offenders against children are also presented. This is followed by research that investigates the links between the modus operandi of sexual offenders against children and various factors Such as victim characteristics. Third, offenders' treatment, as well as situational crime prevention implications in regards to modus operandi, is discussed in order to highlight their respective potential for the prevention of child sexual abuse. (c) 2008 Elsevier Ltd. All rights reserved","JOUR","2009","Web of Science",NA,"14","1","5","12","10.1016/j.avb.2008.08.001",NA
1470," "," "," "," ","carjacking scope structure process and prevention","Carjacking is a violent crime with a broad motivational landscape related to the unique opportunities that a motor vehicle, as the item targeted, makes available to offenders once it is stolen. Although carjacking is technically a form of robbery, carjacking is a hybrid offense because it draws from elements of both regular robbery and motor vehicle theft. Nuanced in its etiology and expression, carjacking boasts a structure and process that require offenders to navigate multiple challenges under considerable time pressure and uncertainty. The fact that carjacking is so often opportunistic yet simultaneously requires a fair amount of calculation makes the offense even more subtle in its complexity. The purpose of this review is to examine these nuances through the lens of official data and existing empirical research. Nascent but growing, this research provides insight into the scope of the problem, the method and manner of the crime's commission, and the challenges of curbing a clear urban menace.","JOUR","2023","Web of Science",NA,"6",NA,"155","179","10.1146/annurev-criminol-030421-042141",NA
1471," "," "," "," ","reintegrative police surveillance of juvenileoffenders forging an urban model","This article reviews patterns of police behavior vis-a-vis juvenile offenders and proposes a model called reintegrative surveillance, which is an integration of community-based corrections and community policing. Neither community-based corrections nor community policing is designed to handle serious, repeat offenders who are returning to high-crime neighborhoods. Police need to reexamine their roles to ensure that (a) policies of maintaining order and consequences of disorder are not ambiguous or misleading to youths and (b) order maintenance and law enforcement practices do not interfere with police ability to protect youths as victims of crime. Both tendencies are clearly widespread problems, and neither will be addressed as long as the ''worst'' neighborhoods and youths are considered beyond salvation. Correctional programs need to reevaluate police as a pivotal community resource. Reintegrative surveillance must include a gradational, consistent criminal justice response, protection, vigilance, interagency goal setting, and agency coordination.","JOUR","1994","Web of Science",NA,"40","2","131","153","10.1177/0011128794040002001",NA
1472," "," "," "," ","changes in the sex patterning of perceived threats of sanctions","In contrast to a recent survey conducted by Miller and Simpson, two earlier surveys of adults, one conducted in 1972 and the other in 1982, reported that women scored higher than men on measures of what Grasmick and Bursik recently have called perceived threats of shame and embarrassment, as well as legal sanctions, for violating the law. Hagan's power-control theory, coupled with trends in labor force and household composition, is used to predict a decline over time in the magnitude of the effect of sex on perceived threats of sanctions. The 1982 survey is merged with an identical one conducted in 1992 to determine whether men and women have become more alike in their perception of these threats. Evidence supporting the predictions from power-control theory is found for theft but not for assault. The findings are discussed in the context of various theories and previous research concerning gender, crime, and social control.","JOUR","1993","Web of Science",NA,"27","4","679","705","10.2307/3053950",NA
1473," "," "," "," ","crime and conflict homicide in evolutionary psychological perspective","Criminological theories are usually framed in sociological terms but always entail psychological assumptions. Psychological accounts, in their turn, entail assumptions about the adaptive ''design'' of evolved mental mechanisms and processes. Thus, explicit attention to recent theory and research on psychology and evolution can sometimes help criminologists generate productive hypotheses and avoid blind alleys. Homicide research is illustrative. Interpersonal conflicts are engendered by interactions among individuals whose psyches were designed by natural and sexual selection to make them effective competitors and effective nepotists (kin-benefactors). These considerations suggest numerous testable hypotheses about such matters as who is likely to kill whom, and how the demography of homicide perpetration and victimization is likely to vary among victim-killer relationships. An evolutionary psychological perspective inspires us to criticize recent criminological discussions of sex differences and age patterns in criminal offending, theories that contrast rational choice with emotional or impulsive behavior, and the medicalization of antisocial behavior as a pathology.","CHAP","1997","Web of Science",NA,"22",NA,"51","100","10.1086/449260",NA
1474," "," "," "," ","criminal contemplation national context and deterrence","Using random samples of adults from three European countries rarely surveyed about crime-related issues, this study seeks to identify, with more extensive indicators than is typical, individuals who are likely to contemplate the commission of criminal acts. Then, it assesses the contextual universality of deterrence claims by estimating the deterrent effectiveness of perceived formal and informal sanctions for theft and violence among crime contemplators in Greece, Russia, and Ukraine. With criminal contemplation taken into account, our findings confirm the patterns established in past research. Whereas the threat of formal punishment shows little deterrent effect, perceptions of informal sanctions appear to influence projected crime. However, supportive findings hold only in Russia and Ukraine. Overall, it appears that the deterrent effectiveness of sanctions may be to some extent contingent on cultural or contextual characteristics.","JOUR","2011","Web of Science",NA,"27","2","225","249","10.1007/s10940-010-9104-8",NA
1475," "," "," "," ","the dark side of organizations mistake misconduct and disaster","In keeping with traditional sociological concerns about order and disorder, this essay addresses the dark side of organizations. To build a theoretical basis for the dark side as an integrated field of study, I review four literatures in order to make core ideas of each available to specialists in the others. Using a Simmelian-based case comparison method of analogical theorizing, I first consider sociological constructs that identify both the generic social form and the generic origin of routine nonconformity: how things go wrong in socially organized settings. Then I examine three types of routine nonconformity with adverse outcomes that harm the public: mistake, misconduct, and disaster produced in and by organizations. Searching for analogies and differences, I find that in common, routine nonconformity, mistake, misconduct, and disaster are systematically produced by the interconnection between environment, organizations, cognition, and choice. These patterns amplify what is known about social structure and have implications for theory, research, and policy.","JOUR","1999","Web of Science",NA,"25",NA,"271","305","10.1146/annurev.soc.25.1.271",NA
1476," "," "," "," ","should we stay or should we go a critical review of journeytocrime research","Our collective understanding of criminal mobility relies almost exclusively on journey-to-crime research, which focuses on the distances traveled by offenders from their homes to the location of their crimes. In this article, we ask whether the theoretical relevance and the methodological validity underlying the journey-to-crime measurement are sufficient for it to continue to be a leading influence in the field of environmental criminology. Based on a critical review of the foundations of journey-to-crime research, we argue that while the interest in the journey-to-crime measurement is understandable, there are better ways to assess criminal mobility. Some likely misleading implicit presuppositions and methodological biases are identified, and the manner in which they affect our comprehension of criminal mobility is discussed. We suggest that a better understanding of criminal mobility would come from complementing journey-to-crime with new and more refined measures. Implications for future studies are proposed.","JOUR","2023","Web of Science",NA,"38","4","914","930","10.1007/s11896-023-09618-x",NA
